实际值,预测值,误差
3,2.999999999999998,2.220446049250313e-15
6,6.0,0.0
2,2.0000000000000018,-1.7763568394002505e-15
2,2.0,0.0
3,3.0000000000000018,-1.7763568394002505e-15
8,7.9999999999999964,3.552713678800501e-15
3,3.000000000000001,-8.881784197001252e-16
3,2.999999999999999,8.881784197001252e-16
2,1.9999999999999991,8.881784197001252e-16
1,0.9999999999999996,4.440892098500626e-16
1,1.0000000000000002,-2.220446049250313e-16
1,1.0000000000000013,-1.3322676295501878e-15
4,4.000000000000001,-8.881784197001252e-16
2,2.000000000000002,-2.220446049250313e-15
3,3.000000000000002,-2.220446049250313e-15
3,3.0,0.0
5,4.9999999999999964,3.552713678800501e-15
7,6.999999999999998,1.7763568394002505e-15
5,5.0,0.0
4,3.999999999999999,8.881784197001252e-16
4,3.999999999999999,8.881784197001252e-16
4,4.0,0.0
0,8.881784197001252e-16,-8.881784197001252e-16
5,4.9999999999999964,3.552713678800501e-15
4,3.999999999999999,8.881784197001252e-16
3,3.0,0.0
1,1.000000000000003,-3.1086244689504383e-15
3,2.9999999999999982,1.7763568394002505e-15
3,2.9999999999999996,4.440892098500626e-16
1,1.000000000000002,-1.9984014443252818e-15
1,1.0000000000000004,-4.440892098500626e-16
3,3.0000000000000004,-4.440892098500626e-16
3,3.0,0.0
6,5.9999999999999964,3.552713678800501e-15
2,2.000000000000001,-8.881784197001252e-16
3,2.9999999999999982,1.7763568394002505e-15
5,4.9999999999999964,3.552713678800501e-15
1,1.0000000000000013,-1.3322676295501878e-15
3,3.0,0.0
1,1.000000000000001,-1.1102230246251565e-15
3,3.0,0.0
1,1.0000000000000007,-6.661338147750939e-16
2,2.000000000000002,-2.220446049250313e-15
0,1.7763568394002505e-15,-1.7763568394002505e-15
3,3.0000000000000004,-4.440892098500626e-16
3,3.0000000000000004,-4.440892098500626e-16
5,4.9999999999999964,3.552713678800501e-15
1,1.0000000000000009,-8.881784197001252e-16
2,2.000000000000001,-8.881784197001252e-16
1,1.000000000000002,-1.9984014443252818e-15
4,3.999999999999997,3.1086244689504383e-15
3,2.9999999999999996,4.440892098500626e-16
3,3.0000000000000018,-1.7763568394002505e-15
0,2.220446049250313e-15,-2.220446049250313e-15
1,1.0000000000000007,-6.661338147750939e-16
3,2.9999999999999973,2.6645352591003757e-15
3,3.0000000000000013,-1.3322676295501878e-15
