年份,主队名称,客队名称,阶段,阶段类型,参赛次数差,比赛场次差,场均进球差,场均失球差,净胜球差,成绩排名差,近3届场均进球差,近3届胜率差,场均净胜球差,淘汰赛胜率差,小组赛胜率差,场均半场进球差,半场胜率差,交锋胜场,交锋平局,交锋负场,交锋净胜球,交锋总场次,交锋胜率,胜负结果,胜负编码
1930,France,Mexico,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,USA,Belgium,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Yugoslavia,Brazil,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Romania,Peru,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Argentina,France,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Chile,Mexico,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Yugoslavia,Bolivia,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,USA,Paraguay,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Uruguay,Peru,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Chile,France,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Argentina,Mexico,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Brazil,Bolivia,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Paraguay,Belgium,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Uruguay,Romania,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Argentina,Chile,小组赛,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Argentina,USA,半决赛,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Uruguay,Yugoslavia,半决赛,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1930,Uruguay,Argentina,决赛,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1934,Austria,France,预选赛,1,-1,-3,-1.3333333333333333,-1.0,-1,-10.0,-1.3333333333333333,-1.0,-0.33333333333333326,0.0,-1.0,-1.0,-0.3333333333333333,0,0,0,0,0,0.0,主队胜,1
1934,Hungary,Egypt,预选赛,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1934,Switzerland,Netherlands,预选赛,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,主队胜,1
1934,Sweden,Argentina,预选赛,1,-1,-5,-3.6,-1.8,-9,-100.0,-3.6,-1.0,-1.8,-1.0,-1.0,-1.6,-0.8,0,0,0,0,0,0.0,主队胜,1
