队伍名称,历史参赛次数,历史比赛场次,历史总进球,历史总失球,历史最高阶段,历史场均进球,历史场均失球,历史净胜球,历史场均净胜球,历史最佳成绩,历史成绩排名,近3届场均进球,近3届胜率
Brazil,20,108,225,114,决赛,2.0833333333333335,1.0555555555555556,111,1.027777777777778,冠军/亚军,6,1.619047619047619,0.47619047619047616
Italy,18,83,128,77,决赛,1.5421686746987953,0.927710843373494,51,0.6144578313253013,冠军/亚军,6,1.3846153846153846,0.3076923076923077
Argentina,16,81,133,85,决赛,1.6419753086419753,1.0493827160493827,48,0.5925925925925926,冠军/亚军,6,1.4761904761904763,0.6666666666666666
Mexico,15,54,58,94,1/4决赛,1.0740740740740742,1.7407407407407407,-36,-0.6666666666666665,八强,3,1.1538461538461537,0.5384615384615384
England,14,62,79,56,决赛,1.2741935483870968,0.9032258064516129,23,0.3709677419354839,冠军/亚军,6,0.9166666666666666,0.4166666666666667
France,14,61,108,72,决赛,1.7704918032786885,1.180327868852459,36,0.5901639344262295,冠军/亚军,6,1.2941176470588236,0.17647058823529413
Spain,14,59,92,66,决赛,1.5593220338983051,1.11864406779661,26,0.4406779661016951,冠军/亚军,6,1.5,0.2857142857142857
Uruguay,12,52,80,73,决赛,1.5384615384615385,1.4038461538461537,7,0.1346153846153848,冠军/亚军,6,1.25,0.3333333333333333
Belgium,12,43,54,68,三四名决赛,1.255813953488372,1.5813953488372092,-14,-0.3255813953488371,三四名,5,1.1428571428571428,0.8571428571428571
Sweden,11,46,74,69,决赛,1.608695652173913,1.5,5,0.10869565217391308,冠军/亚军,6,0.75,0.5
Germany FR,10,62,131,77,决赛,2.1129032258064515,1.2419354838709677,54,0.8709677419354838,冠军/亚军,6,0.0,0.0
Netherlands,10,54,91,49,决赛,1.6851851851851851,0.9074074074074074,42,0.7777777777777777,冠军/亚军,6,1.5909090909090908,0.4090909090909091
Switzerland,10,34,45,60,1/4决赛,1.3235294117647058,1.7647058823529411,-15,-0.4411764705882353,八强,3,1.0,0.4166666666666667
USA,10,34,38,64,半决赛,1.1176470588235294,1.8823529411764706,-26,-0.7647058823529411,四强,4,1.0833333333333333,0.3333333333333333
Chile,9,34,41,50,三四名决赛,1.2058823529411764,1.4705882352941178,-9,-0.26470588235294135,三四名,5,1.1111111111111112,0.4444444444444444
Yugoslavia,9,37,60,46,三四名决赛,1.6216216216216217,1.2432432432432432,14,0.3783783783783785,三四名,5,0.0,0.0
Korea Republic,9,31,31,67,三四名决赛,1.0,2.161290322580645,-36,-1.161290322580645,三四名,5,1.2,0.5
Hungary,9,32,87,57,决赛,2.71875,1.78125,30,0.9375,冠军/亚军,6,0.0,0.0
Czechoslovakia,8,30,44,45,决赛,1.4666666666666666,1.5,-1,-0.03333333333333344,冠军/亚军,6,0.0,0.0
Paraguay,8,27,30,38,1/4决赛,1.1111111111111112,1.4074074074074074,-8,-0.2962962962962963,八强,3,0.625,0.375
Scotland,8,23,25,41,小组赛,1.0869565217391304,1.7826086956521738,-16,-0.6956521739130435,小组赛,1,0.0,0.0
Germany,8,48,104,46,决赛,2.1666666666666665,0.9583333333333334,58,1.208333333333333,冠军/亚军,6,2.36,0.44
Poland,7,31,44,40,三四名决赛,1.4193548387096775,1.2903225806451613,4,0.12903225806451624,三四名,5,0.6666666666666666,0.3333333333333333
Austria,7,29,43,47,三四名决赛,1.4827586206896552,1.6206896551724137,-4,-0.13793103448275845,三四名,5,0.0,0.0
Cameroon,7,23,18,43,1/4决赛,0.782608695652174,1.8695652173913044,-25,-1.0869565217391304,八强,3,0.5,0.3333333333333333
Soviet Union,7,31,53,34,三四名决赛,1.7096774193548387,1.096774193548387,19,0.6129032258064517,三四名,5,0.0,0.0
Romania,7,21,30,32,1/4决赛,1.4285714285714286,1.5238095238095237,-2,-0.09523809523809512,八强,3,0.0,0.0
Bulgaria,7,26,22,53,三四名决赛,0.8461538461538461,2.0384615384615383,-31,-1.192307692307692,三四名,5,0.0,0.0
Portugal,6,26,43,29,三四名决赛,1.6538461538461537,1.1153846153846154,14,0.5384615384615383,三四名,5,1.2857142857142858,0.5714285714285714
Colombia,5,20,29,29,1/4决赛,1.45,1.45,0,0.0,八强,3,2.142857142857143,0.8571428571428571
Nigeria,5,19,20,28,1/8决赛,1.0526315789473684,1.4736842105263157,-8,-0.42105263157894735,十六强,2,0.75,0.625
Japan,5,17,14,22,1/8决赛,0.8235294117647058,1.2941176470588236,-8,-0.47058823529411775,十六强,2,0.8,0.4
Croatia,4,16,21,17,三四名决赛,1.3125,1.0625,4,0.25,三四名,5,1.3333333333333333,0.3333333333333333
Algeria,4,14,14,21,1/8决赛,1.0,1.5,-7,-0.5,十六强,2,1.0,0.5
Australia,4,13,11,26,1/8决赛,0.8461538461538461,2.0,-15,-1.1538461538461537,十六强,2,1.1,0.6
Denmark,4,16,27,24,1/4决赛,1.6875,1.5,3,0.1875,八强,3,1.0,0.3333333333333333
Tunisia,4,12,8,17,小组赛,0.6666666666666666,1.4166666666666667,-9,-0.7500000000000001,小组赛,1,1.0,0.6666666666666666
Saudi Arabia,4,13,9,32,1/8决赛,0.6923076923076923,2.4615384615384617,-23,-1.7692307692307694,十六强,2,0.6666666666666666,0.0
Morocco,4,13,12,18,1/8决赛,0.9230769230769231,1.3846153846153846,-6,-0.46153846153846145,十六强,2,0.0,0.0
Costa Rica,4,17,18,24,1/4决赛,1.0588235294117647,1.411764705882353,-6,-0.3529411764705883,八强,3,0.9,0.2
Peru,4,15,19,31,1/4决赛,1.2666666666666666,2.066666666666667,-12,-0.8000000000000003,八强,3,0.0,0.0
IR Iran,3,6,2,10,小组赛,0.3333333333333333,1.6666666666666667,-8,-1.3333333333333335,小组赛,1,0.25,0.75
Bolivia,3,6,1,20,小组赛,0.16666666666666666,3.3333333333333335,-19,-3.166666666666667,小组赛,1,0.0,0.0
South Africa,3,9,11,16,小组赛,1.2222222222222223,1.7777777777777777,-5,-0.5555555555555554,小组赛,1,1.0,0.0
Russia,3,9,13,13,小组赛,1.4444444444444444,1.4444444444444444,0,0.0,小组赛,1,0.6666666666666666,0.3333333333333333
"rn"">Republic of Ireland",3,13,10,10,1/4决赛,0.7692307692307693,0.7692307692307693,0,0.0,八强,3,0.0,0.0
Ghana,3,12,13,16,1/4决赛,1.0833333333333333,1.3333333333333333,-3,-0.25,八强,3,1.0833333333333333,0.3333333333333333
Iran,3,6,5,12,小组赛,0.8333333333333334,2.0,-7,-1.1666666666666665,小组赛,1,1.0,0.5
Honduras,3,9,3,14,小组赛,0.3333333333333333,1.5555555555555556,-11,-1.2222222222222223,小组赛,1,0.16666666666666666,0.3333333333333333
Ecuador,3,10,10,11,1/8决赛,1.0,1.1,-1,-0.10000000000000009,十六强,2,1.1428571428571428,0.42857142857142855
C锟絫e d'Ivoire,3,9,13,14,小组赛,1.4444444444444444,1.5555555555555556,-1,-0.11111111111111116,小组赛,1,1.4444444444444444,0.7777777777777778
Northern Ireland,3,13,13,23,1/4决赛,1.0,1.7692307692307692,-10,-0.7692307692307692,八强,3,0.0,0.0
Greece,3,11,6,21,1/8决赛,0.5454545454545454,1.9090909090909092,-15,-1.3636363636363638,十六强,2,0.75,0.5
Norway,3,8,7,8,1/8决赛,0.875,1.0,-1,-0.125,十六强,2,0.0,0.0
Egypt,2,4,3,6,小组赛,0.75,1.5,-3,-0.75,小组赛,1,0.0,0.0
Turkey,2,10,20,17,三四名决赛,2.0,1.7,3,0.30000000000000004,三四名,5,0.0,0.0
New Zealand,2,6,4,14,小组赛,0.6666666666666666,2.3333333333333335,-10,-1.666666666666667,小组赛,1,0.6666666666666666,0.0
El Salvador,2,6,1,22,小组赛,0.16666666666666666,3.6666666666666665,-21,-3.5,小组赛,1,0.0,0.0
Slovenia,2,6,5,10,小组赛,0.8333333333333334,1.6666666666666667,-5,-0.8333333333333334,小组赛,1,1.0,0.0
Korea DPR,2,7,6,21,1/4决赛,0.8571428571428571,3.0,-15,-2.142857142857143,八强,3,0.3333333333333333,0.6666666666666666
Czech Republic,1,3,3,4,小组赛,1.0,1.3333333333333333,-1,-0.33333333333333326,小组赛,1,1.0,0.0
China PR,1,3,0,9,小组赛,0.0,3.0,-9,-3.0,小组赛,1,0.0,0.0
Canada,1,3,0,5,小组赛,0.0,1.6666666666666667,-5,-1.6666666666666667,小组赛,1,0.0,0.0
Angola,1,3,1,2,小组赛,0.3333333333333333,0.6666666666666666,-1,-0.3333333333333333,小组赛,1,0.3333333333333333,0.0
Cuba,1,3,5,12,1/4决赛,1.6666666666666667,4.0,-7,-2.333333333333333,八强,3,0.0,0.0
Haiti,1,3,2,14,小组赛,0.6666666666666666,4.666666666666667,-12,-4.0,小组赛,1,0.0,0.0
Dutch East Indies,1,1,0,6,小组赛,0.0,6.0,-6,-6.0,小组赛,1,0.0,0.0
Kuwait,1,3,2,6,小组赛,0.6666666666666666,2.0,-4,-1.3333333333333335,小组赛,1,0.0,0.0
Iraq,1,3,1,4,小组赛,0.3333333333333333,1.3333333333333333,-3,-1.0,小组赛,1,0.0,0.0
Israel,1,3,1,3,小组赛,0.3333333333333333,1.0,-2,-0.6666666666666667,小组赛,1,0.0,0.0
Jamaica,1,3,3,9,小组赛,1.0,3.0,-6,-2.0,小组赛,1,0.0,0.0
German DR,1,6,5,5,小组赛,0.8333333333333334,0.8333333333333334,0,0.0,小组赛,1,0.0,0.0
Serbia,1,3,2,3,小组赛,0.6666666666666666,1.0,-1,-0.33333333333333337,小组赛,1,0.6666666666666666,0.3333333333333333
Slovakia,1,4,5,7,1/8决赛,1.25,1.75,-2,-0.5,十六强,2,1.25,0.5
Senegal,1,5,7,6,1/4决赛,1.4,1.2,1,0.19999999999999996,八强,3,0.0,0.0
Ukraine,1,5,5,7,1/4决赛,1.0,1.4,-2,-0.3999999999999999,八强,3,1.0,0.6
Togo,1,3,1,6,小组赛,0.3333333333333333,2.0,-5,-1.6666666666666667,小组赛,1,0.3333333333333333,0.3333333333333333
Zaire,1,3,0,14,小组赛,0.0,4.666666666666667,-14,-4.666666666666667,小组赛,1,0.0,0.0
Wales,1,5,4,4,1/4决赛,0.8,0.8,0,0.0,八强,3,0.0,0.0
"rn"">Bosnia and Herzegovina",1,3,4,4,小组赛,1.3333333333333333,1.3333333333333333,0,0.0,小组赛,1,1.3333333333333333,1.0
"rn"">Serbia and Montenegro",1,3,2,10,小组赛,0.6666666666666666,3.3333333333333335,-8,-2.666666666666667,小组赛,1,0.6666666666666666,0.6666666666666666
"rn"">Trinidad and Tobago",1,3,0,4,小组赛,0.0,1.3333333333333333,-4,-1.3333333333333333,小组赛,1,0.0,0.6666666666666666
"rn"">United Arab Emirates",1,3,2,11,小组赛,0.6666666666666666,3.6666666666666665,-9,-3.0,小组赛,1,0.0,0.0
